seq,id,video_id,title,audio_path,duration_sec,start_sec,end_sec
1,407,F65-KmCZpNc,Kargin Haghordum - Mlicu anekdot@ (Hayko Mko),data\audio\407_Kargin_Haghordum_-_Mlicu_anekdot@_Hayko_Mko_F65-KmCZpNc.webm,138.281,0.0,138.281
2,409,H_AWoRuyy5U,Kargin Haghordum - Kartoshka (Hayko Mko),data\audio\409_Kargin_Haghordum_-_Kartoshka_Hayko_Mko_H_AWoRuyy5U.webm,190.241,138.281,328.522
3,410,CDdaWrIjalo,Kargin Haghordum - Dembel (Hayko Mko),data\audio\410_Kargin_Haghordum_-_Dembel_Hayko_Mko_CDdaWrIjalo.webm,173.001,328.522,501.523
4,417,l6kHHRGPdZ4,Kargin Haghordum - Jin 2 (Hayko Mko),data\audio\417_Kargin_Haghordum_-_Jin_2_Hayko_Mko_l6kHHRGPdZ4.webm,229.361,501.523,730.884
5,419,kBuXMQxDwcs,Kargin Haghordum - Qaxmas (Hayko Mko),data\audio\419_Kargin_Haghordum_-_Qaxmas_Hayko_Mko_kBuXMQxDwcs.webm,306.321,730.884,1037.205
6,420,0izSdtGfw28,Kargin Haghordum - Pastoren tunytela poqr (Hayko Mko),data\audio\420_Kargin_Haghordum_-_Pastoren_tunytela_poqr_Hayko_Mko_0izSdtGfw28.webm,122.681,1037.205,1159.886
7,421,dZ3hUkD1IiM,Kargin Haghordum - Aktivist (Hayko Mko),data\audio\421_Kargin_Haghordum_-_Aktivist_Hayko_Mko_dZ3hUkD1IiM.webm,150.341,1159.886,1310.227
8,423,l4p3EXW1MEM,Kargin Haghordum - Gjer (Hayko Mko),data\audio\423_Kargin_Haghordum_-_Gjer_Hayko_Mko_l4p3EXW1MEM.webm,155.361,1310.227,1465.588
9,428,QL4ZKNEWB7c,Kargin Haghordum - Mafia (Hayko Mko),data\audio\428_Kargin_Haghordum_-_Mafia_Hayko_Mko_QL4ZKNEWB7c.webm,197.981,1465.588,1663.569
10,438,s-zo29VaCao,Kargin Haghordum - DVD (Hayko Mko),data\audio\438_Kargin_Haghordum_-_DVD_Hayko_Mko_s-zo29VaCao.webm,238.481,1663.569,1902.05
11,440,CGR8uTdJp6s,Kargin Haghordum - Zugaranya (Hayko Mko),data\audio\440_Kargin_Haghordum_-_Zugaranya_Hayko_Mko_CGR8uTdJp6s.webm,177.341,1902.05,2079.391
12,460,jLZNtQKFoAc,Kargin Haghordum sketch 085 (Hayko Mko),data\audio\460_Kargin_Haghordum_sketch_085_Hayko_Mko_jLZNtQKFoAc.webm,141.761,2079.391,2221.152
13,461,K9BDnmNx4Ic,Kargin Haghordum sketch 086 (Hayko Mko),data\audio\461_Kargin_Haghordum_sketch_086_Hayko_Mko_K9BDnmNx4Ic.webm,211.761,2221.152,2432.913
14,466,EzQr9kXIp0U,Kargin Haghordum sketch 091 (Hayko Mko),data\audio\466_Kargin_Haghordum_sketch_091_Hayko_Mko_EzQr9kXIp0U.webm,178.221,2432.913,2611.134
15,477,su_eh7PKgWc,Kargin Haghordum sketch 105 (Hayko Mko),data\audio\477_Kargin_Haghordum_sketch_105_Hayko_Mko_su_eh7PKgWc.webm,273.581,2611.134,2884.715
16,509,aOZ3vbc1iFA,Kargin Haghordum sketch 137 (Hayko Mko),data\audio\509_Kargin_Haghordum_sketch_137_Hayko_Mko_aOZ3vbc1iFA.webm,237.721,2884.715,3122.436
17,510,ZRx834p4chA,Kargin Haghordum sketch 138 (Hayko Mko),data\audio\510_Kargin_Haghordum_sketch_138_Hayko_Mko_ZRx834p4chA.webm,336.081,3122.436,3458.517
18,517,9waE9oRnddw,Kargin Haghordum sketch 151 (Hayko Mko),data\audio\517_Kargin_Haghordum_sketch_151_Hayko_Mko_9waE9oRnddw.webm,163.121,3458.517,3621.638
19,519,mHr8lcIK5AI,Kargin Haghordum sketch 153 (Hayko Mko),data\audio\519_Kargin_Haghordum_sketch_153_Hayko_Mko_mHr8lcIK5AI.webm,253.601,3621.638,3875.239
20,525,P4FOCwZYSnk,Kargin Haghordum sketch 159 (Hayko Mko),data\audio\525_Kargin_Haghordum_sketch_159_Hayko_Mko_P4FOCwZYSnk.webm,219.141,3875.239,4094.38
21,529,cIU6H6DTLr8,Kargin Haghordum sketch 163 (Hayko Mko),data\audio\529_Kargin_Haghordum_sketch_163_Hayko_Mko_cIU6H6DTLr8.webm,144.641,4094.38,4239.021
22,531,8XgcIFcc0TI,Kargin Haghordum sketch 165 (Hayko Mko),data\audio\531_Kargin_Haghordum_sketch_165_Hayko_Mko_8XgcIFcc0TI.webm,208.301,4239.021,4447.322
23,532,uXOTZyBMya8,Kargin Haghordum sketch 166 (Hayko Mko),data\audio\532_Kargin_Haghordum_sketch_166_Hayko_Mko_uXOTZyBMya8.webm,175.281,4447.322,4622.603
24,533,kKDydl5jRAY,Kargin Haghordum sketch 167 (Hayko Mko),data\audio\533_Kargin_Haghordum_sketch_167_Hayko_Mko_kKDydl5jRAY.webm,283.561,4622.603,4906.164
25,534,088OKSJV3QE,Kargin Haghordum sketch 168 (Hayko Mko),data\audio\534_Kargin_Haghordum_sketch_168_Hayko_Mko_088OKSJV3QE.webm,117.781,4906.164,5023.945
